ZINC_ID,SMILES
ZINCap0000003wcC,O=C(O)C1CN(C2CC2CSC2COC2)C[C@H]1c1cccc(F)c1
ZINC9i0000003WzI,O=C(O)C1CN(C2CC3(C2)OCCO3)C[C@H]1c1cccc(F)c1
ZINC8l0000003YH1,O=C(O)C1CN(C2CC3(COC3)C2)C[C@H]1c1cccc(F)c1
ZINC5p0000003VKP,O=C(O)C1CN(C2CCC2)C[C@H]1c1cccc(F)c1
ZINC6t0000000AWx,O=C(O)C1CN(C2CCCC2)C[C@H]1c1cccc(F)c1
ZINC7h0000003YH6,O=C(O)C1CN(C2CCNCC2)C[C@H]1c1cccc(F)c1
ZINC7l0000003YH7,O=C(O)C1CN(C2CCOCC2)C[C@H]1c1cccc(F)c1
ZINC7s0000000B29,O=C(O)C1CN(C2CCSCC2)C[C@H]1c1cccc(F)c1
ZINC590000003WaP,O=C(O)C1CN(C2CNC2)C[C@H]1c1cccc(F)c1
ZINC5d0000003VKR,O=C(O)C1CN(C2COC2)C[C@H]1c1cccc(F)c1
ZINC8m0000003YHr,O=C(O)C1CN(C=C2CCNCC2)C[C@H]1c1cccc(F)c1
ZINCap0000001LCi,O=C(O)C1CN(C=C2CN(CC3CC3)C2)C[C@H]1c1cccc(F)c1
ZINC7i0000002gJV,O=C(O)C1CN(C=C2OCCO2)C[C@H]1c1cccc(F)c1
ZINCat0000000nbK,O=C(O)C1CN(C=CCCN2CCCC2)C[C@H]1c1cccc(F)c1
ZINCar0000000nby,O=C(O)C1CN(C=CCCn2cccn2)C[C@H]1c1cccc(F)c1
ZINCar0000000nbz,O=C(O)C1CN(C=CCCn2ccnc2)C[C@H]1c1cccc(F)c1
ZINCal000000017E,O=C(O)C1CN(C=CCCn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCal000000017F,O=C(O)C1CN(C=CCCn2cncn2)C[C@H]1c1cccc(F)c1
ZINCaa0000001Kdj,O=C(O)C1CN(C=CCNC2=NCCN2)C[C@H]1c1cccc(F)c1
ZINCap0000001LCj,O=C(O)C1CN(C=CCNc2ncco2)C[C@H]1c1cccc(F)c1
ZINCau00000000Pf,O=C(O)C1CN(C=CCNc2nccs2)C[C@H]1c1cccc(F)c1
ZINCao0000004TiL,O=C(O)C1CN(C=CCNc2nncs2)C[C@H]1c1cccc(F)c1
ZINCao0000000197,O=C(O)C1CN(C=CCNc2ncns2)C[C@H]1c1cccc(F)c1
ZINCao0000001Lxo,O=C(O)C1CN(C=CCNc2ncsn2)C[C@H]1c1cccc(F)c1
ZINCai0000003Hy5,O=C(O)C1CN(C=CCNC2CCOC2)C[C@H]1c1cccc(F)c1
ZINCap0000002WZx,O=C(O)C1CN(C=CCNC2CCSC2)C[C@H]1c1cccc(F)c1
ZINC9e00000057ve,O=C(O)C1CN(C=CCNC2COC2)C[C@H]1c1cccc(F)c1
ZINCao0000001CpL,O=C(O)C1CN(C=CCNc2cnsn2)C[C@H]1c1cccc(F)c1
ZINCai0000001hSa,O=C(O)C1CN(C=CCOn2cccn2)C[C@H]1c1cccc(F)c1
ZINCao0000000198,O=C(O)C1CN(C=CCSc2c[nH]nn2)C[C@H]1c1cccc(F)c1
ZINCao0000000199,O=C(O)C1CN(C=CCSc2nc[nH]n2)C[C@H]1c1cccc(F)c1
ZINCau00000000Pi,O=C(O)C1CN(C=CCSc2ncc[nH]2)C[C@H]1c1cccc(F)c1
ZINCai0000001hSb,O=C(O)C1CN(C=CCSc2nn[nH]n2)C[C@H]1c1cccc(F)c1
ZINCaq0000000txG,O=C(O)C1CN(C=CCSc2nnco2)C[C@H]1c1cccc(F)c1
ZINCat00000000J8,O=C(O)C1CN(c2cnn(CC=CBr)c2)C[C@H]1c1cccc(F)c1
ZINC9n0000001edd,O=C(O)C1CN(C=CCn2cccn2)C[C@H]1c1cccc(F)c1
ZINC9n0000001ede,O=C(O)C1CN(C=CCn2ccnc2)C[C@H]1c1cccc(F)c1
ZINC9h0000001dVT,O=C(O)C1CN(C=CCn2ccnn2)C[C@H]1c1cccc(F)c1
ZINCap0000001iW1,O=C(O)C1CN(C=CCn2cnc(Br)n2)C[C@H]1c1cccc(F)c1
ZINCap0000001iW1,O=C(O)C1CN(c2ncn(CC=CBr)n2)C[C@H]1c1cccc(F)c1
ZINC9h0000001dVU,O=C(O)C1CN(C=CCn2cncn2)C[C@H]1c1cccc(F)c1
ZINC7r0000000B18,O=C(O)C1CN(CC23CC(C2)C3)C[C@H]1c1cccc(F)c1
ZINC5n0000003WAc,O=C(O)C1CN(CC2CC2)C[C@H]1c1cccc(F)c1
ZINCal0000003WAd,O=C(O)C1CN(CC2CC3(C2)OCCO3)C[C@H]1c1cccc(F)c1
ZINC9o0000003YHp,O=C(O)C1CN(CC2CC3(COC3)C2)C[C@H]1c1cccc(F)c1
ZINC6r0000000AUv,O=C(O)C1CN(CC2CCC2)C[C@H]1c1cccc(F)c1
ZINC8j0000003YHq,O=C(O)C1CN(CC2CCNCC2)C[C@H]1c1cccc(F)c1
ZINC8o0000003YHs,O=C(O)C1CN(CC2CCOCC2)C[C@H]1c1cccc(F)c1
ZINC6g0000003WAk,O=C(O)C1CN(CC2COC2)C[C@H]1c1cccc(F)c1
ZINC9g0000003WAl,O=C(O)C1CN(CC2COCCOC2)C[C@H]1c1cccc(F)c1
ZINC7d0000003YHv,O=C(O)C1CN(CC2OCCO2)C[C@H]1c1cccc(F)c1
ZINC9h0000001dVV,O=C(O)C1CN(CC=Cn2ccnn2)C[C@H]1c1cccc(F)c1
ZINC6r0000000AUw,O=C(O)C1CN(CCC2CC2)C[C@H]1c1cccc(F)c1
ZINC9r0000000BJA,O=C(O)C1CN(CCC2CCOCC2)C[C@H]1c1cccc(F)c1
ZINC9l0000003YHx,O=C(O)C1CN(CCC2OCCCO2)C[C@H]1c1cccc(F)c1
ZINC8h0000003WAo,O=C(O)C1CN(CCC2OCCO2)C[C@H]1c1cccc(F)c1
ZINC9l0000003YHy,O=C(O)C1CN(CCCC2OCCO2)C[C@H]1c1cccc(F)c1
ZINC9o0000003WAv,O=C(O)C1CN(CCCN2CCCC2)C[C@H]1c1cccc(F)c1
ZINCan0000003YHE,O=C(O)C1CN(CCCN2CCCCO2)C[C@H]1c1cccc(F)c1
ZINCah0000003WAx,O=C(O)C1CN(CCCN2CCOCC2)C[C@H]1c1cccc(F)c1
ZINCau0000000Dz4,O=C(O)C1CN(CCCc2cccnc2)C[C@H]1c1cccc(F)c1
ZINCau0000000Dz5,O=C(O)C1CN(CCCc2ccncc2)C[C@H]1c1cccc(F)c1
ZINC9s0000000BSG,O=C(O)C1CN(CCCn2cccc2)C[C@H]1c1cccc(F)c1
ZINC9m0000003WAw,O=C(O)C1CN(CCCn2ccnc2)C[C@H]1c1cccc(F)c1
ZINC9g0000004Qxy,O=C(O)C1CN(CCCn2ccnn2)C[C@H]1c1cccc(F)c1
ZINC8k0000003WaU,O=C(O)C1CN(CCN2CCCC2)C[C@H]1c1cccc(F)c1
ZINC9o0000003WAK,O=C(O)C1CN(CCN2CCCCC2)C[C@H]1c1cccc(F)c1
ZINC9k0000003YHR,O=C(O)C1CN(CCN2CCCCO2)C[C@H]1c1cccc(F)c1
ZINC980000003WaV,O=C(O)C1CN(CCN2CCNCC2)C[C@H]1c1cccc(F)c1
ZINC9d0000003VL0,O=C(O)C1CN(CCN2CCOCC2)C[C@H]1c1cccc(F)c1
ZINC9p0000001tyG,O=C(O)C1CN(CCNc2nccs2)C[C@H]1c1cccc(F)c1
ZINCao0000001tKB,O=C(O)C1CN(CCNc2ccncc2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI4,O=C(O)C1CN(CCNc2cccnn2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI5,O=C(O)C1CN(CCNc2ccncn2)C[C@H]1c1cccc(F)c1
ZINCah0000001tHl,O=C(O)C1CN(CCNC2CCOCC2)C[C@H]1c1cccc(F)c1
ZINCao0000001tKC,O=C(O)C1CN(CCNC2CCSCC2)C[C@H]1c1cccc(F)c1
ZINCah0000001tHm,O=C(O)C1CN(CCN[C@@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINCao0000001tKD,O=C(O)C1CN(CCN[C@@H]2CCCSC2)C[C@H]1c1cccc(F)c1
ZINC9k0000001tyz,O=C(O)C1CN(CCN[C@@H]2CCSC2)C[C@H]1c1cccc(F)c1
